soft_id	soft_name	file_name	url	version	file_size	update_time	os_type
10994	公务员考试系统	ali30v2007	http://dlsw.baidu.com/sw-search-sp/soft/fb/10994/ali30v2007.exe?version=1185392965	1.0.0.0	3330653	2013/8/16 16:42	30
12241	福彩双色球	fcssq	http://dlsw.baidu.com/sw-search-sp/soft/02/12241/fcssq.exe?version=693062257	5.0.70.0	50107636	2013/8/12 18:16	30
13286	彩铃DIY软件	cailing	http://dlsw.baidu.com/sw-search-sp/soft/ba/13286/cailing.exe?version=1185392965	1.0.0.0	8092943	2013/8/12 18:16	7
10458	XLS to Image Converter	xls2img2_setup.exe	http://dl1sw.baidu.com/packages/162488.exe	2.00 Build 032605	2621440	2005/4/15 0:00	30
16018	VB6TOCS	vb6tocs	http://dlsw.baidu.com/sw-search-sp/soft/17/16018/vb6tocs.msi?version=3314935820	1.0.1342.27760	397824	2013/8/8 16:18	30
11584	Turbotoons（超级跑车）	myfiles_turbotoons.exe	http://dl1sw.baidu.com/packages/162503.exe	0.0.0.0	10905190	2007/6/14 0:00	30
10417	PPT to Image Converter	ppt2img2_setup.exe	http://dl1sw.baidu.com/packages/162517.exe	2.00 Build 032605	2621440	2005/4/15 0:00	30
13594	Novell NetWare Revisor	nnr38trial	http://dlsw.baidu.com/sw-search-sp/soft/f0/13594/nnr38trial.exe?version=2216028369	3.6.6	6138864	2013/8/13 11:00	31
16609	MI Thumbnail ActiveX Control	myfiles_mithumbnaildemosetup.exe	http://dl1sw.baidu.com/packages/162536.exe	1.2	6081740	2004/7/24 0:00	30
13890	Foxy Jumper2	FoxyJumper2	http://dlsw.baidu.com/sw-search-sp/soft/9c/13890/FoxyJumper2.exe?version=1185392965	1.0.0.0	12611944	2013/8/13 16:44	7
14999	CJC单词连连连	LinkSetup	http://dlsw.baidu.com/sw-search-sp/soft/93/14999/LinkSetup.exe?version=450215437	2	2104338	2013/7/24 18:19	30
10420	CAM350	CAM350v86	http://dlsw.baidu.com/sw-search-sp/soft/75/10420/CAM350v86.exe?version=832608723	1.0.0.1	18618085	2013/8/8 16:49	30
15173	自动找茬器	AutoFind_Setup	http://dlsw.baidu.com/sw-search-sp/soft/fd/15173/AutoFind_Setup.exe?version=2001712088	2.0.0.0	1498334	2013/8/16 16:49	30
16576	长夜绵绵主题	myfiles_endlessnight.exe	http://dl1sw.baidu.com/packages/162638.exe	0.0.0.0	2831155	2007/5/24 0:00	30
14535	友梅五笔拼音	youmei9	http://dl1sw.baidu.com/soft/63/14535/youmei9.EXE?version=4179967629	9	847273	2013/7/10 17:18	30
11763	新星宝宝取名软件	nsbabyff-v6.0.2.912.zip	http://dl1sw.baidu.com/packages/162678.msi	6.0.2.912	8598323	2013/7/26 15:35	30
11385	卸载之王	uking	http://dlsw.baidu.com/sw-search-sp/soft/96/11385/uking.exe?version=1185392965	1.0.0.0	1461327	2013/8/22 16:07	30
11446	写作之友	wp2setup.exe	http://dl1sw.baidu.com/packages/162684.exe		6501171	2013/7/26 15:34	30
15885	五星装修管理软件	wxzxglrj.exe	http://dl1sw.baidu.com/packages/162705.exe	3	5557452	2013/7/26 15:34	30
13016	拓思多国语言翻译系统	myfiles_topthink.exe	http://dl1sw.baidu.com/packages/162729.exe	1.2.28	1153433	2013/7/26 15:32	30
11248	图联网电子书阅读器	BookAllSetup_1.0.0.0	http://dlsw.baidu.com/sw-search-sp/soft/8f/11248/BookAllSetup_1.0.0.0.msi?version=1185392965	1.0.0.0	12946432	2013/8/8 16:15	30
13195	听力专家	hearing	http://dlsw.baidu.com/sw-search-sp/soft/0a/13195/hearing.msi?version=2001712088	2.0.0.0	749568	2013/8/22 16:15	30
10293	圣诞节精灵动画屏保	myfiles_SpiritOfChristmas.exe	http://dl1sw.baidu.com/packages/162772.exe	0.0.0.0	1048576	2007/5/29 0:00	30
11354	全中文MS-DOS7.10(Win98)启动盘	StartCD.exe	http://dl1sw.baidu.com/packages/162792.exe	2.1	2726297	2004/2/19 0:00	30
12964	乐趣视频游戏	LQSPGame	http://dlsw.baidu.com/sw-search-sp/soft/2b/12964/LQSPGame.exe?version=2083930402	5.2.3	6070851	2013/7/30 15:41	31
13173	海贼王女帝电脑主题包	HaizeiWang_NvDi.zip	http://dl1sw.baidu.com/packages/162908.exe	1	2726297	2010/8/11 0:00	30
14055	光驱精灵	winskysetup	http://dlsw.baidu.com/sw-search-sp/soft/9d/14055/winskysetup.exe?version=296781987	1.35.0.0	334654	2013/8/9 18:26	30
10490	高中物理乐园	playphys_cn.exe	http://dl1sw.baidu.com/packages/162921.exe	3.9	1572864	2005/10/25 0:00	30
15505	多声道公共广播自动播放系统	multcard7.0	http://dlsw.baidu.com/sw-search-sp/soft/28/15505/multcard7.0.exe?version=628595839	7.0.0.0	5556717	2013/8/8 16:49	30
15390	动漫之家在线漫画阅读器	dongmanzhijia_1.0.4393.28527	http://dlsw.baidu.com/sw-search-sp/soft/16/15390/dongmanzhijia_1.0.4393.28527.msi?version=3206654386	1.0.4393.28527	1826816	2013/8/9 18:31	30
10957	彩票神投手III	setupspjs3trial	http://dlsw.baidu.com/sw-search-sp/soft/d8/10957/setupspjs3trial.exe?version=4105354075	3	29132575	2013/8/15 15:54	7
14356	WinTopo Pro	setup-wintopo-pro.exe	http://dl1sw.baidu.com/packages/162989.exe	3.45	2202009	2013/7/30 17:12	30
15269	Vegas Video	SONY_Vegas_9.0	http://dlsw.baidu.com/sw-search-sp/soft/c0/15269/SONY_Vegas_9.0.exe?version=2163694832	Version 9.0 (Build 563)	168859136	2013/8/12 14:16	30
10338	VB-PowerWrap	vbpower4_trial	http://dlsw.baidu.com/sw-search-sp/soft/cd/10338/vbpower4_trial.exe?version=3801871436	4.4.2.0	1569625	2013/7/30 17:29	30
14820	U盘之家工具包	upan.cc_tools_2.0	http://dl1sw.baidu.com/soft/42/14820/upan.cc_tools_2.0.exe?version=450215437	2	10436108	2013/7/22 18:02	30
16135	SUAVE(机动坦克大战)	SUAVE_Shareware_1.05_Installer	http://dlsw.baidu.com/sw-search-sp/soft/84/16135/SUAVE_Shareware_1.05_Installer.exe?version=1185392965	1.0.0.0	4652682	2013/8/8 16:42	30
14995	Shutdown Monster	shutx_405	http://dlsw.baidu.com/sw-search-sp/soft/a5/14995/shutx_405.exe?version=307512329	4.0.5.0	1177800	2013/8/16 16:41	30
15337	QCAD	QcadDemo.exe	http://dl1sw.baidu.com/packages/163031.exe	29	3355443	2004/5/26 0:00	30
12695	Pocket CHM	pchmpro	http://dlsw.baidu.com/sw-search-sp/soft/69/12695/pchmpro.exe?version=3220762407	5.9.0.0	2468470	2013/8/8 16:19	30
